gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Male,9,0,20,12,78,3,10,5,3,A
Male,5,2,5,2,50,1,5,5,1,B
Female,8,0,4,9,92,1,6,6,1,A
Male,1,0,2,7,38,1,4,3,1,B
Male,15,0,9,7,60,1,12,8,1,B
Male,15,1,5,0,44,0,4,4,0,B
Female,17,2,20,12,122,1,8,5,1,A
Female,20,0,0,5,45,1,2,2,1,A
Male,14,0,1,0,54,0,4,3,0,B
Male,19,0,1,0,31,0,5,3,0,C
Male,18,5,21,9,77,1,8,7,1,A
Male,28,2,9,21,65,1,6,3,1,B
Male,30,3,9,5,74,1,11,2,1,B
Male,44,1,6,0,66,0,3,3,0,B
Male,15,11,35,27,83,2,10,8,2,A
Male,35,3,19,16,95,3,7,5,1,B
Male,18,11,63,42,80,5,14,5,2,A
Male,15,4,22,8,77,0,10,5,0,A
Male,31,7,22,12,101,1,8,6,1,A
Male,37,13,41,19,128,2,11,8,2,B
Male,5,0,2,2,26,1,15,3,1,C
Male,8,5,5,6,63,1,7,7,0,B
Male,28,2,32,16,78,1,15,3,1,A
Male,40,3,14,3,101,1,8,7,1,B
Male,18,2,14,3,63,1,7,7,1,B
Male,2,1,1,5,28,2,10,1,1,B
Female,17,5,9,12,69,1,11,5,1,A
Male,6,1,7,11,48,1,7,5,1,A
Male,10,4,15,3,50,0,8,7,0,B
Male,29,12,19,11,76,1,11,5,1,A
Male,19,0,6,3,54,0,6,5,0,B
Male,25,7,6,5,90,0,7,5,0,A
Female,25,0,1,0,62,0,13,1,0,B
Male,21,2,12,4,98,1,4,4,1,A
Male,20,0,1,3,44,1,4,3,1,B
Male,16,1,5,1,48,0,10,7,0,B
Male,27,4,9,10,73,1,5,4,1,B
Male,19,1,11,9,86,1,6,6,1,A
Female,9,0,7,5,55,1,4,4,1,B
Female,14,13,23,18,93,2,15,7,2,B
Female,5,14,18,11,57,1,4,4,1,B
Male,12,0,3,12,81,1,12,9,1,A
Male,23,0,0,0,46,0,2,1,0,B
Male,10,1,6,3,40,0,6,5,0,C
Male,28,1,23,10,77,1,8,7,1,A
Female,14,1,4,10,93,1,10,8,1,A
Male,33,7,22,14,107,0,9,4,0,B
Male,20,7,18,11,87,3,9,9,1,A
Female,14,1,6,2,67,1,8,6,1,A
Male,10,0,13,7,56,1,7,7,1,A
Male,18,6,38,21,122,1,7,6,1,A
Male,26,1,10,1,69,0,8,7,0,A
Male,33,3,25,14,87,4,6,4,3,A
Female,11,2,2,4,41,1,4,4,1,B
Male,27,0,7,8,54,1,5,4,1,A
Male,17,1,15,13,67,2,7,6,1,A
Male,18,1,8,3,69,1,6,5,1,A
Male,4,0,1,0,52,0,4,4,0,C
Male,13,1,10,14,73,3,5,4,3,B
Male,4,0,15,7,93,1,6,5,1,A
Female,20,3,33,28,94,2,5,4,2,A
Male,14,2,2,1,33,0,6,6,0,A
Male,22,3,14,11,53,1,4,4,1,A
Male,9,3,11,8,94,1,7,6,1,A
Male,27,1,6,5,56,2,4,4,1,B
Male,6,1,5,6,42,2,4,4,0,B
Male,14,7,8,11,54,3,6,6,1,B
Male,3,0,1,1,34,1,9,4,1,B
Female,3,0,5,5,77,2,6,5,1,B
Female,30,3,10,15,78,1,10,7,1,A
Male,7,0,6,5,41,1,11,5,1,B
Female,4,1,11,5,71,1,7,5,1,A
Female,20,0,5,2,86,0,12,9,0,A
Male,2,0,0,0,21,0,4,4,0,A
Female,10,5,12,8,88,1,5,4,1,B
Male,16,0,4,2,63,1,11,8,1,A
Male,16,2,18,15,84,1,8,5,1,A
Female,26,0,9,4,64,1,6,5,1,A
Male,30,9,30,16,91,1,14,1,1,A
Male,12,0,10,5,40,1,7,7,1,A
Male,8,1,4,4,42,1,3,3,1,A
Female,8,0,7,9,51,0,6,6,0,B
Male,12,0,7,4,37,1,4,4,1,B
Female,33,3,3,3,77,1,5,2,1,B
Male,17,0,9,6,48,1,5,5,0,C
Male,26,1,6,3,74,1,6,6,1,B
Male,8,1,6,7,25,1,4,4,1,B
Male,6,0,3,3,34,1,4,3,1,B
Male,7,1,28,18,96,1,7,4,1,A
Male,16,2,5,3,49,0,5,5,0,A
Male,15,0,10,8,57,2,7,6,1,A
Male,4,5,13,13,20,1,2,2,1,A
Male,10,1,2,1,36,0,7,7,0,B
Male,19,2,7,4,64,1,3,2,1,A
Male,26,5,16,6,97,1,9,6,1,B
Female,23,2,21,3,72,1,6,5,1,A
Male,25,4,14,8,54,1,7,6,1,B
Male,33,2,15,10,76,1,6,6,1,A
Male,23,2,12,8,84,1,11,7,1,B
Male,15,0,11,1,60,0,8,7,0,A
Male,43,1,23,24,122,2,4,3,1,B
Female,15,4,33,3,105,1,12,8,1,A
Female,11,2,12,6,59,1,6,5,1,A
Male,12,2,8,3,52,1,5,5,1,B
Male,26,4,28,13,120,1,7,6,1,A
Female,12,2,12,4,71,1,11,9,1,A
Male,9,0,6,0,50,0,4,2,0,B
